ticker,name,finnhubIndustry,country,currency,exchange,ipo,marketCapitalization,marketCapClass,shareOutstanding
AACG,ATA Creativity Global,Diversified Consumer Services,CN,USD,NASDAQ NMS - GLOBAL MARKET,2008-01-29,27.29185,MICRO_CAP,56.626346
AAL,American Airlines Group Inc,Airlines,US,USD,NASDAQ NMS - GLOBAL MARKET,2013-12-09,7844.693,MID_CAP,422.894501
AAME,Atlantic American Corp,Insurance,US,USD,NASDAQ NMS - GLOBAL MARKET,1980-01-16,36.78906,MICRO_CAP,20.438366
AAOI,Applied Optoelectronics Inc,Communications,US,USD,NASDAQ NMS - GLOBAL MARKET,2013-09-26,197.1919,MICRO_CAP,20.339549
AAON,Aaon Inc,Building,US,USD,NASDAQ NMS - GLOBAL MARKET,1991-01-03,2980.886,MID_CAP,52.031532
AAPL,Apple Inc,Technology,US,USD,NASDAQ NMS - GLOBAL MARKET,1980-12-12,1490968,MEGA_CAP,4334.335
AAWW,Atlas Air Worldwide Holdings Inc,Logistics & Transportation,US,USD,NASDAQ NMS - GLOBAL MARKET,1995-08-11,1079.288,SMALL_CAP,26.126559
AAXJ,iShares MSCI All Country Asia ex Japan ETF,N/A,US,USD,NASDAQ NMS - GLOBAL MARKET,,0,MICRO_CAP,0
AAXN,Axon Enterprise Inc,Aerospace & Defense,US,USD,NASDAQ NMS - GLOBAL MARKET,2001-05-08,5819.198,MID_CAP,59.825208
ABCB,Ameris Bancorp,Banking,US,USD,NASDAQ NMS - GLOBAL MARKET,1994-05-19,1967.912,SMALL_CAP,69.439367
ABEO,Abeona Therapeutics Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,1980-09-19,251.9308,MICRO_CAP,83.697928
ABIO,ARCA Biopharma Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,2000-07-21,13.6293,MICRO_CAP,1.94207
ABMD,Abiomed Inc,Health Care,US,USD,NASDAQ NMS - GLOBAL MARKET,1987-07-29,11042.33,LARGE_CAP,44.956959
ABTX,Allegiance Bancshares Inc,Banking,US,USD,NASDAQ NMS - GLOBAL MARKET,2015-10-08,595.7666,SMALL_CAP,20.402965
ABUS,Arbutus Biopharma Corp,Biotechnology,CA,USD,NASDAQ NMS - GLOBAL MARKET,2010-11-13,141.026,MICRO_CAP,68.961395
ACAD,ACADIA Pharmaceuticals Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,2004-05-27,7401.856,MID_CAP,155.861373
ACAMU,Acamar Partners Acquisition Corp,N/A,US,USD,NASDAQ NMS - GLOBAL MARKET,2019-02-22,382.3485,SMALL_CAP,38.196652
ACBI,Atlantic Capital Bancshares Inc,Banking,US,USD,NASDAQ NMS - GLOBAL MARKET,2015-11-02,281.9979,MICRO_CAP,21.461027
ACER,Acer Therapeutics Inc,Pharmaceuticals,US,USD,NASDAQ NMS - GLOBAL MARKET,2006-09-01,32.38742,MICRO_CAP,10.249182
ACGL,Arch Capital Group Ltd,Insurance,BM,USD,NASDAQ NMS - GLOBAL MARKET,1995-09-13,13946.23,LARGE_CAP,405.649506
ACHC,Acadia Healthcare Company Inc,Health Care,US,USD,NASDAQ NMS - GLOBAL MARKET,2012-01-11,2607.794,MID_CAP,88.942499
ACHV,Achieve Life Sciences Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,1995-10-12,17.70352,MICRO_CAP,37.515408
ACIA,Acacia Communications Inc,Communications,US,USD,NASDAQ NMS - GLOBAL MARKET,2016-05-13,2833.172,MID_CAP,41.787199
ACIU,AC Immune SA,Biotechnology,CH,USD,NASDAQ NMS - GLOBAL MARKET,2016-09-23,494.3929,SMALL_CAP,71.859431
ACIW,ACI Worldwide Inc,Technology,US,USD,NASDAQ NMS - GLOBAL MARKET,1993-11-02,3371.676,MID_CAP,115.94485
ACLS,Axcelis Technologies Inc,Semiconductors,US,USD,NASDAQ NMS - GLOBAL MARKET,2000-07-11,916.559,SMALL_CAP,32.875141
ACMR,ACM Research Inc,Semiconductors,US,USD,NASDAQ NMS - GLOBAL MARKET,2017-11-03,1032.985,SMALL_CAP,19.998744
ACNB,ACNB Corp,Banking,US,USD,NASDAQ NMS - GLOBAL MARKET,1993-10-27,246.312,MICRO_CAP,8.669906
ACOR,Acorda Therapeutics Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,2006-02-10,46.7801,MICRO_CAP,47.984514
ACRS,Aclaris Therapeutics Inc,Pharmaceuticals,US,USD,NASDAQ NMS - GLOBAL MARKET,2015-10-07,66.35816,MICRO_CAP,41.866345
ACRX,AcelRx Pharmaceuticals Inc,Pharmaceuticals,US,USD,NASDAQ NMS - GLOBAL MARKET,2011-02-11,118.7227,MICRO_CAP,80.763751
ACST.V,Acasti Pharma Inc,Pharmaceuticals,CA,CAD,TSX VENTURE EXCHANGE - NEX,2011-03-31,92.01364,MICRO_CAP,90.209449
ACTG,Acacia Research Corp,Professional Services,US,USD,NASDAQ NMS - GLOBAL MARKET,1995-07-05,188.2479,MICRO_CAP,48.705804
ACTTU,Act II Global Acquisition Corp,N/A,US,USD,NASDAQ NMS - GLOBAL MARKET,2019-04-26,382.875,SMALL_CAP,37.5
ACWI,iShares MSCI ACWI ETF,N/A,US,USD,NASDAQ NMS - GLOBAL MARKET,,0,MICRO_CAP,0
