index,ticker,name,finnhubIndustry,country,currency,exchange,ipo,marketCapitalization,marketCapClass,shareOutstanding
0,AACG,ATA Creativity Global,Diversified Consumer Services,CN,USD,NASDAQ NMS - GLOBAL MARKET,1/29/2008,27.29185,MICRO_CAP,56.626346
1,AAL,American Airlines Group Inc,Airlines,US,USD,NASDAQ NMS - GLOBAL MARKET,12/9/2013,7844.693,MID_CAP,422.894501
2,AAME,Atlantic American Corp,Insurance,US,USD,NASDAQ NMS - GLOBAL MARKET,1/16/1980,36.78906,MICRO_CAP,20.438366
3,AAOI,Applied Optoelectronics Inc,Communications,US,USD,NASDAQ NMS - GLOBAL MARKET,9/26/2013,197.1919,MICRO_CAP,20.339549
4,AAON,Aaon Inc,Building,US,USD,NASDAQ NMS - GLOBAL MARKET,1/3/1991,2980.886,MID_CAP,52.031532
5,AAPL,Apple Inc,Technology,US,USD,NASDAQ NMS - GLOBAL MARKET,12/12/1980,1490968,MEGA_CAP,4334.335
6,AAWW,Atlas Air Worldwide Holdings Inc,Logistics & Transportation,US,USD,NASDAQ NMS - GLOBAL MARKET,8/11/1995,1079.288,SMALL_CAP,26.126559
8,AAXN,Axon Enterprise Inc,Aerospace & Defense,US,USD,NASDAQ NMS - GLOBAL MARKET,5/8/2001,5819.198,MID_CAP,59.825208
9,ABCB,Ameris Bancorp,Banking,US,USD,NASDAQ NMS - GLOBAL MARKET,5/19/1994,1967.912,SMALL_CAP,69.439367
10,ABEO,Abeona Therapeutics Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,9/19/1980,251.9308,MICRO_CAP,83.697928
11,ABIO,ARCA Biopharma Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,7/21/2000,13.6293,MICRO_CAP,1.94207
12,ABMD,Abiomed Inc,Health Care,US,USD,NASDAQ NMS - GLOBAL MARKET,7/29/1987,11042.33,LARGE_CAP,44.956959
13,ABTX,Allegiance Bancshares Inc,Banking,US,USD,NASDAQ NMS - GLOBAL MARKET,10/8/2015,595.7666,SMALL_CAP,20.402965
14,ABUS,Arbutus Biopharma Corp,Biotechnology,CA,USD,NASDAQ NMS - GLOBAL MARKET,11/13/2010,141.026,MICRO_CAP,68.961395
15,ACAD,ACADIA Pharmaceuticals Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,5/27/2004,7401.856,MID_CAP,155.861373
17,ACBI,Atlantic Capital Bancshares Inc,Banking,US,USD,NASDAQ NMS - GLOBAL MARKET,11/2/2015,281.9979,MICRO_CAP,21.461027
18,ACER,Acer Therapeutics Inc,Pharmaceuticals,US,USD,NASDAQ NMS - GLOBAL MARKET,9/1/2006,32.38742,MICRO_CAP,10.249182
19,ACGL,Arch Capital Group Ltd,Insurance,BM,USD,NASDAQ NMS - GLOBAL MARKET,9/13/1995,13946.23,LARGE_CAP,405.649506
20,ACHC,Acadia Healthcare Company Inc,Health Care,US,USD,NASDAQ NMS - GLOBAL MARKET,1/11/2012,2607.794,MID_CAP,88.942499
21,ACHV,Achieve Life Sciences Inc,Biotechnology,US,USD,NASDAQ NMS - GLOBAL MARKET,10/12/1995,17.70352,MICRO_CAP,37.515408
22,ACIA,Acacia Communications Inc,Communications,US,USD,NASDAQ NMS - GLOBAL MARKET,5/13/2016,2833.172,MID_CAP,41.787199
23,ACIU,AC Immune SA,Biotechnology,CH,USD,NASDAQ NMS - GLOBAL MARKET,9/23/2016,494.3929,SMALL_CAP,71.859431
24,ACIW,ACI Worldwide Inc,Technology,US,USD,NASDAQ NMS - GLOBAL MARKET,11/2/1993,3371.676,MID_CAP,115.94485
25,ACLS,Axcelis Technologies Inc,Semiconductors,US,USD,NASDAQ NMS - GLOBAL MARKET,7/11/2000,916.559,SMALL_CAP,32.875141
26,ACMR,ACM Research Inc,Semiconductors,US,USD,NASDAQ NMS - GLOBAL MARKET,11/3/2017,1032.985,SMALL_CAP,19.998744
